,clickbait
2747,1
18211,0
30502,0
26757,0
28651,0
8108,1
25208,0
12375,1
11852,1
6752,1
14599,1
3267,1
15498,1
5805,1
13502,1
11192,1
18189,0
2142,1
2453,1
632,1
165,1
12299,1
28985,0
17419,0
24630,0
29723,0
1176,1
4711,1
11414,1
10892,1
31214,0
192,1
6710,1
18476,0
21319,0
7497,1
19898,0
15148,1
1744,1
5375,1
12304,1
27055,0
29045,0
28620,0
28776,0
21698,0
5861,1
29484,0
19938,0
21053,0
5154,1
1957,1
767,1
11607,1
1826,1
4043,1
27202,0
1271,1
1856,1
11114,1
21670,0
16322,0
16166,0
25717,0
11957,1
5147,1
30854,0
13924,1
12486,1
7112,1
28217,0
4652,1
13038,1
20754,0
8008,1
29583,0
2378,1
29331,0
13638,1
20192,0
23677,0
14486,1
1770,1
21269,0
7906,1
10074,1
5161,1
13409,1
5089,1
27962,0
31993,0
829,1
17897,0
19290,0
31355,0
29080,0
31248,0
314,1
9512,1
16110,0
13680,1
19111,0
169,1
17157,0
20686,0
21061,0
14288,1
10419,1
9524,1
3544,1
16213,0
16896,0
23590,0
141,1
6961,1
12146,1
26997,0
6335,1
22887,0
12668,1
14114,1
11714,1
26962,0
14274,1
21103,0
5453,1
4836,1
14541,1
28523,0
19847,0
12704,1
14053,1
369,1
11809,1
19133,0
24325,0
3925,1
9501,1
3977,1
7675,1
13233,1
10076,1
1106,1
17660,0
31688,0
5744,1
27013,0
12875,1
5617,1
26666,0
9467,1
21937,0
30340,0
19506,0
11407,1
23963,0
10630,1
26448,0
13517,1
30346,0
2570,1
4291,1
12296,1
8222,1
22068,0
23198,0
28105,0
2872,1
19935,0
2964,1
3818,1
25259,0
7469,1
14685,1
536,1
29561,0
6984,1
9027,1
27672,0
24442,0
15953,1
9939,1
21781,0
277,1
25278,0
2617,1
14915,1
31239,0
29824,0
12062,1
4679,1
17498,0
27754,0
3594,1
21478,0
975,1
24223,0
9526,1
29352,0
27399,0
25281,0
12939,1
3154,1
22500,0
9521,1
27967,0
22643,0
10059,1
13651,1
2448,1
24260,0
19932,0
21908,0
13784,1
6483,1
10894,1
14200,1
574,1
30811,0
11193,1
15128,1
10167,1
9615,1
10906,1
27602,0
30396,0
1573,1
3421,1
6689,1
7255,1
10936,1
9739,1
24410,0
3921,1
15324,1
3438,1
20753,0
28615,0
24348,0
24214,0
29420,0
16431,0
10618,1
3252,1
25966,0
26868,0
5091,1
2685,1
14882,1
14245,1
4873,1
1344,1
26712,0
31768,0
27100,0
30092,0
176,1
5320,1
23381,0
17068,0
30226,0
28915,0
25170,0
9419,1
23319,0
4217,1
25248,0
7239,1
7915,1
20430,0
24966,0
29815,0
1147,1
28075,0
13481,1
29259,0
12609,1
19980,0
7436,1
10813,1
575,1
10380,1
14911,1
25270,0
9753,1
73,1
31938,0
19885,0
27189,0
2526,1
29885,0
11386,1
11214,1
30486,0
16997,0
31885,0
19992,0
4941,1
21421,0
6063,1
30104,0
5081,1
19177,0
1371,1
18509,0
8512,1
23014,0
4111,1
16971,0
10259,1
16830,0
12769,1
19763,0
14333,1
14312,1
19229,0
1265,1
12432,1
20322,0
15415,1
26235,0
23952,0
8393,1
4948,1
5227,1
25774,0
23421,0
21006,0
2946,1
29023,0
2882,1
24837,0
26376,0
7883,1
1006,1
5662,1
13487,1
10918,1
17388,0
28857,0
21470,0
11210,1
23893,0
20901,0
27447,0
5835,1
4439,1
9180,1
16842,0
20922,0
30991,0
21022,0
1644,1
22684,0
12728,1
25199,0
28449,0
16148,0
820,1
8959,1
7309,1
8552,1
17179,0
16261,0
21257,0
12231,1
31210,0
9346,1
30344,0
13270,1
16980,0
14478,1
21235,0
17352,0
23873,0
31152,0
16861,0
4621,1
17691,0
23828,0
4510,1
1442,1
1858,1
16977,0
5936,1
1912,1
28185,0
22008,0
2144,1
25124,0
12191,1
11300,1
19594,0
19989,0
16204,0
24298,0
6668,1
10016,1
14617,1
29922,0
31859,0
31872,0
15579,1
29368,0
18722,0
21089,0
13996,1
9182,1
14649,1
23716,0
27283,0
23788,0
5362,1
11319,1
18998,0
12909,1
5263,1
16351,0
30808,0
9516,1
5669,1
10099,1
2038,1
9307,1
8702,1
27402,0
30838,0
4581,1
27027,0
22005,0
26940,0
17598,0
30816,0
13433,1
8385,1
19392,0
30882,0
25379,0
17763,0
29135,0
12103,1
31532,0
11572,1
9046,1
23224,0
18272,0
9159,1
10311,1
1375,1
25422,0
13527,1
25845,0
26764,0
18018,0
31984,0
8226,1
18038,0
22113,0
4662,1
24011,0
7529,1
294,1
2843,1
2451,1
3477,1
29479,0
22824,0
6017,1
24092,0
1492,1
28477,0
9294,1
10899,1
9836,1
9085,1
29886,0
19097,0
27738,0
117,1
23134,0
1060,1
9767,1
29372,0
31506,0
16638,0
29665,0
18152,0
16925,0
25356,0
28738,0
4066,1
12773,1
19006,0
2756,1
543,1
490,1
7801,1
896,1
23079,0
19056,0
28195,0
25985,0
28583,0
16044,0
7933,1
17024,0
823,1
27177,0
250,1
10779,1
21663,0
11853,1
11465,1
17640,0
15027,1
17743,0
2773,1
25326,0
1778,1
12822,1
27635,0
10597,1
18865,0
5476,1
12667,1
7165,1
19504,0
10306,1
29275,0
11552,1
30560,0
19752,0
15894,1
13189,1
20727,0
2984,1
29068,0
9412,1
25035,0
7228,1
18141,0
7607,1
25172,0
30251,0
2357,1
22105,0
23441,0
30907,0
9028,1
13037,1
24292,0
15950,1
12181,1
13682,1
4908,1
15043,1
17936,0
20373,0
5503,1
23849,0
22963,0
27554,0
5512,1
13072,1
785,1
10587,1
7684,1
11674,1
3999,1
19659,0
25181,0
202,1
21450,0
20841,0
842,1
3096,1
12969,1
16005,0
26634,0
29091,0
21336,0
29104,0
20840,0
29912,0
17713,0
18737,0
18012,0
7203,1
9567,1
8308,1
25792,0
6393,1
12063,1
26254,0
14578,1
7831,1
28337,0
11400,1
5801,1
12666,1
10487,1
30014,0
16945,0
26183,0
15113,1
11378,1
495,1
27860,0
10547,1
8984,1
15057,1
31323,0
28255,0
29309,0
19963,0
9683,1
3228,1
20155,0
4958,1
16625,0
5726,1
1324,1
10339,1
3923,1
3927,1
31934,0
5596,1
15478,1
15730,1
6655,1
6067,1
186,1
13494,1
670,1
19409,0
4896,1
14591,1
11022,1
11431,1
23208,0
7604,1
31578,0
10226,1
17,1
31618,0
10886,1
18390,0
22495,0
25734,0
17466,0
12988,1
27040,0
19308,0
23964,0
29083,0
29399,0
11087,1
21864,0
7138,1
7990,1
21195,0
23138,0
24648,0
23042,0
3861,1
17695,0
12862,1
26149,0
5433,1
14523,1
5865,1
15162,1
28895,0
439,1
24195,0
30693,0
2200,1
9255,1
20027,0
12886,1
23950,0
3668,1
23925,0
23592,0
13515,1
6213,1
20265,0
21725,0
29953,0
19440,0
3223,1
31564,0
17004,0
30304,0
15164,1
19568,0
9277,1
5126,1
30747,0
31815,0
3748,1
14529,1
28260,0
11388,1
3322,1
11675,1
8547,1
1762,1
27103,0
9035,1
5434,1
19876,0
7263,1
20249,0
834,1
22369,0
13868,1
1393,1
23959,0
13575,1
19013,0
17676,0
8690,1
30912,0
17762,0
1084,1
17141,0
488,1
23112,0
3893,1
24182,0
8942,1
1293,1
22857,0
28977,0
6582,1
29394,0
30441,0
13646,1
17827,0
25984,0
9315,1
25174,0
27494,0
26623,0
1139,1
4026,1
24093,0
7057,1
21171,0
4796,1
10445,1
7453,1
4702,1
11086,1
4180,1
10705,1
18785,0
4729,1
19071,0
31773,0
30594,0
6355,1
11250,1
2876,1
6914,1
23127,0
14522,1
214,1
29689,0
25361,0
23796,0
16417,0
23895,0
14191,1
2186,1
25495,0
28033,0
3789,1
21553,0
17835,0
3626,1
13106,1
9443,1
25522,0
31979,0
11423,1
17114,0
3160,1
17878,0
25921,0
18882,0
817,1
28223,0
22366,0
19297,0
1238,1
25217,0
4469,1
26882,0
29756,0
1538,1
31823,0
28708,0
5119,1
31162,0
20912,0
23481,0
4863,1
11584,1
8206,1
22342,0
11492,1
21777,0
17778,0
6193,1
18752,0
28356,0
14393,1
30369,0
2183,1
18166,0
15215,1
5978,1
4190,1
3882,1
10652,1
13541,1
26928,0
23314,0
18454,0
28571,0
3388,1
584,1
8632,1
23173,0
1535,1
10169,1
2734,1
30503,0
14631,1
10481,1
19341,0
19131,0
12215,1
20585,0
3174,1
29332,0
7482,1
11808,1
2181,1
12468,1
14449,1
19247,0
17791,0
5667,1
9908,1
31732,0
30859,0
19116,0
8111,1
31197,0
2141,1
10168,1
9959,1
25253,0
5074,1
31467,0
6846,1
3025,1
17967,0
29945,0
3638,1
8223,1
19237,0
10539,1
19010,0
485,1
5256,1
18378,0
27363,0
20990,0
26835,0
31566,0
12910,1
27371,0
5279,1
3156,1
23725,0
696,1
10437,1
22980,0
11805,1
5238,1
4824,1
24917,0
25715,0
23560,0
31853,0
31865,0
3170,1
18307,0
18724,0
13165,1
22293,0
12839,1
10838,1
27828,0
13514,1
29909,0
25420,0
18472,0
17816,0
14748,1
20494,0
24324,0
13992,1
26199,0
1049,1
8474,1
1040,1
22585,0
4409,1
14044,1
9089,1
28501,0
13911,1
29365,0
18404,0
16891,0
10675,1
11647,1
2533,1
1820,1
9607,1
15880,1
30649,0
6388,1
15063,1
31864,0
20498,0
2777,1
10404,1
15107,1
30513,0
1951,1
16222,0
15452,1
25612,0
26824,0
4106,1
17865,0
19494,0
1596,1
1320,1
28390,0
8299,1
5921,1
22511,0
17582,0
31171,0
18652,0
13256,1
13154,1
18496,0
2279,1
2642,1
11255,1
24795,0
24909,0
27797,0
18828,0
26916,0
1278,1
16874,0
10694,1
3538,1
10058,1
5840,1
17537,0
27053,0
25328,0
22523,0
20624,0
21891,0
30206,0
26902,0
24683,0
6471,1
20500,0
16541,0
14782,1
23747,0
4544,1
10096,1
4778,1
30211,0
23218,0
8120,1
23061,0
24529,0
4384,1
30284,0
4465,1
27331,0
296,1
27060,0
29427,0
3665,1
12091,1
25702,0
2898,1
13024,1
3837,1
15763,1
754,1
6486,1
4944,1
9473,1
16952,0
26598,0
15281,1
17269,0
1843,1
14735,1
1044,1
8030,1
216,1
23605,0
27946,0
17774,0
15773,1
23191,0
14708,1
7928,1
10212,1
4575,1
20897,0
29984,0
30959,0
18746,0
19321,0
9402,1
22480,0
1835,1
12834,1
24983,0
27346,0
31650,0
15284,1
7674,1
12436,1
3870,1
28713,0
27867,0
5969,1
27881,0
9016,1
14300,1
29308,0
20303,0
19652,0
5572,1
3929,1
20801,0
10042,1
20919,0
1337,1
28662,0
889,1
15459,1
18011,0
26574,0
6877,1
969,1
28550,0
7110,1
24535,0
18529,0
16985,0
1107,1
3423,1
16125,0
23884,0
15184,1
22323,0
10043,1
15608,1
2262,1
29935,0
6558,1
21617,0
3065,1
99,1
16035,0
21231,0
10834,1
14443,1
28351,0
934,1
16575,0
31913,0
20256,0
12179,1
31048,0
29947,0
20199,0
19134,0
1697,1
6528,1
2432,1
4917,1
14628,1
20733,0
30389,0
10864,1
18407,0
28983,0
26421,0
4355,1
12702,1
16434,0
24450,0
10682,1
3250,1
31375,0
31055,0
13758,1
8270,1
9995,1
10055,1
10353,1
31654,0
16323,0
18151,0
11177,1
8605,1
12860,1
30820,0
3058,1
30574,0
13712,1
29970,0
26851,0
24718,0
24775,0
29749,0
17410,0
31391,0
31451,0
5544,1
31114,0
27690,0
25374,0
9749,1
1935,1
8914,1
20442,0
24876,0
7414,1
6159,1
6867,1
931,1
14776,1
30929,0
25597,0
18488,0
14028,1
28555,0
27550,0
6729,1
12426,1
21757,0
4306,1
14765,1
3863,1
985,1
22471,0
1253,1
30171,0
22532,0
10187,1
10959,1
20821,0
29744,0
11484,1
29084,0
10500,1
1662,1
30894,0
22900,0
31267,0
9161,1
6675,1
6450,1
2384,1
21108,0
31829,0
21531,0
23784,0
751,1
26945,0
31167,0
1799,1
5463,1
5144,1
24457,0
15013,1
27194,0
1268,1
674,1
8751,1
7900,1
3171,1
6915,1
11091,1
1669,1
1250,1
7435,1
25914,0
18259,0
28541,0
12627,1
16046,0
21382,0
7121,1
22557,0
6750,1
28952,0
25936,0
18485,0
14416,1
3653,1
494,1
4870,1
9251,1
8568,1
12703,1
929,1
24162,0
21637,0
6687,1
1981,1
1628,1
3391,1
3954,1
20654,0
14147,1
11716,1
28642,0
15891,1
11811,1
30406,0
27173,0
1487,1
2995,1
19243,0
3754,1
23909,0
21090,0
9484,1
9945,1
8562,1
16792,0
8278,1
31761,0
14834,1
24897,0
12303,1
6553,1
5225,1
2229,1
1909,1
16731,0
21973,0
1327,1
4932,1
2673,1
27789,0
12901,1
29382,0
7463,1
7544,1
24313,0
14001,1
24778,0
19849,0
16620,0
9409,1
11863,1
12504,1
13429,1
9130,1
13182,1
20241,0
21236,0
27465,0
22534,0
874,1
23720,0
31164,0
27759,0
12298,1
9660,1
4498,1
22298,0
5180,1
6201,1
25934,0
608,1
30280,0
19821,0
23559,0
11323,1
21914,0
1045,1
25856,0
579,1
9904,1
17487,0
5814,1
26317,0
18332,0
15722,1
10033,1
31283,0
19800,0
21780,0
31143,0
10572,1
6579,1
77,1
10805,1
15129,1
21480,0
7335,1
7405,1
7679,1
16813,0
1887,1
12227,1
29237,0
13174,1
16357,0
4472,1
31983,0
15901,1
27751,0
15734,1
15918,1
28496,0
21873,0
24530,0
5201,1
23102,0
30451,0
30678,0
26403,0
7609,1
5571,1
6713,1
21980,0
22182,0
26773,0
25786,0
17471,0
3459,1
3502,1
8326,1
3125,1
800,1
2678,1
19121,0
28569,0
19999,0
23016,0
23010,0
14009,1
18036,0
17588,0
18551,0
26320,0
25667,0
21709,0
4960,1
27997,0
13157,1
17553,0
21048,0
4445,1
30474,0
22650,0
26953,0
919,1
3198,1
29312,0
19864,0
12683,1
3813,1
29674,0
31262,0
24686,0
25283,0
21717,0
31026,0
22408,0
29874,0
17307,0
12196,1
26497,0
8950,1
27469,0
5854,1
17935,0
5627,1
6233,1
10678,1
31477,0
11314,1
29855,0
3143,1
563,1
24981,0
42,1
2679,1
21283,0
27714,0
26617,0
1675,1
28077,0
2830,1
626,1
13161,1
26230,0
20480,0
3399,1
30699,0
21611,0
24403,0
10455,1
22754,0
26386,0
23295,0
1248,1
1434,1
11409,1
4816,1
23785,0
4410,1
19150,0
26662,0
16999,0
21669,0
10483,1
31046,0
22194,0
4200,1
13659,1
29069,0
22333,0
25788,0
21793,0
18782,0
17211,0
7589,1
22126,0
9457,1
24570,0
12463,1
22806,0
16290,0
6640,1
3973,1
30095,0
2979,1
4294,1
7314,1
12154,1
2102,1
16329,0
18358,0
14917,1
17555,0
14686,1
21645,0
5383,1
2966,1
18204,0
22574,0
8919,1
19386,0
5505,1
11284,1
22197,0
8695,1
11434,1
25553,0
1533,1
12759,1
3850,1
20451,0
12857,1
4552,1
25421,0
3831,1
1091,1
1763,1
28079,0
22698,0
14918,1
15232,1
21736,0
8682,1
14487,1
5510,1
15607,1
11644,1
2495,1
13657,1
30189,0
11444,1
1550,1
10376,1
7447,1
1354,1
6623,1
9572,1
24727,0
24715,0
15272,1
1719,1
7603,1
31004,0
19675,0
18657,0
14784,1
22790,0
11864,1
59,1
16914,0
27903,0
1737,1
5763,1
28326,0
2072,1
27764,0
2721,1
17481,0
13610,1
3483,1
783,1
1941,1
7830,1
21808,0
5691,1
3061,1
8411,1
6045,1
1381,1
4286,1
15426,1
25183,0
23497,0
29004,0
10206,1
15574,1
14893,1
8533,1
5772,1
1333,1
7118,1
15228,1
19532,0
616,1
3980,1
26462,0
8447,1
27721,0
9633,1
16689,0
15444,1
19299,0
13329,1
19960,0
27092,0
1558,1
28629,0
30932,0
31124,0
18590,0
18023,0
2891,1
19250,0
604,1
2736,1
24273,0
10589,1
8708,1
31638,0
26665,0
14586,1
23108,0
3343,1
26562,0
3491,1
13899,1
22294,0
2045,1
28270,0
29687,0
14081,1
28717,0
23580,0
30476,0
12258,1
1437,1
31855,0
8514,1
25412,0
14701,1
15407,1
9107,1
15764,1
2603,1
17335,0
15554,1
15118,1
28135,0
10133,1
17892,0
29122,0
19918,0
10517,1
4204,1
22615,0
6896,1
6545,1
26168,0
16029,0
16666,0
15849,1
21125,0
26353,0
22702,0
10819,1
7149,1
15024,1
3016,1
16508,0
16211,0
8329,1
28253,0
15014,1
18347,0
18001,0
1410,1
17393,0
7145,1
11016,1
19024,0
10379,1
11173,1
11239,1
30179,0
13289,1
31632,0
19322,0
14524,1
28495,0
28224,0
16950,0
24672,0
11064,1
14296,1
16871,0
27921,0
24963,0
31371,0
6439,1
4825,1
2550,1
22203,0
28082,0
25036,0
7200,1
10214,1
9675,1
8184,1
12061,1
1199,1
29933,0
23666,0
15099,1
15261,1
2369,1
30609,0
2372,1
26814,0
31997,0
4117,1
15744,1
17954,0
14810,1
27518,0
25142,0
561,1
6487,1
25097,0
2932,1
28584,0
28683,0
18240,0
24340,0
16024,0
19764,0
25611,0
14436,1
21989,0
14534,1
17342,0
10895,1
14723,1
4793,1
17815,0
29522,0
25108,0
20140,0
16537,0
221,1
2394,1
3356,1
12489,1
27499,0
8643,1
22882,0
20386,0
17813,0
886,1
24565,0
29241,0
27240,0
25224,0
22212,0
8266,1
7331,1
6538,1
6747,1
9885,1
14109,1
13058,1
23091,0
17018,0
8057,1
9176,1
26900,0
7536,1
31358,0
6016,1
30810,0
23323,0
20010,0
2121,1
28630,0
17262,0
29082,0
20485,0
12615,1
18793,0
1200,1
27171,0
9856,1
14746,1
19004,0
12142,1
12931,1
3556,1
3910,1
430,1
3763,1
26120,0
6009,1
8511,1
14309,1
6715,1
23315,0
16371,0
717,1
16367,0
8885,1
12747,1
25739,0
18713,0
23370,0
22653,0
29552,0
25561,0
13173,1
21807,0
15156,1
14553,1
15216,1
21248,0
2485,1
29495,0
29486,0
28826,0
3168,1
15929,1
14805,1
8459,1
1148,1
2812,1
28666,0
2234,1
31265,0
15483,1
16420,0
18540,0
10839,1
11011,1
6739,1
18918,0
4685,1
18769,0
6346,1
16884,0
390,1
26809,0
9082,1
18768,0
21892,0
28081,0
27279,0
28450,0
3978,1
2720,1
932,1
27869,0
25389,0
17484,0
14985,1
27502,0
31596,0
5661,1
10181,1
16364,0
11007,1
20695,0
11357,1
11698,1
2465,1
25196,0
17886,0
18238,0
23635,0
28758,0
22786,0
18604,0
1370,1
3662,1
4251,1
16092,0
25126,0
27157,0
3747,1
19261,0
5243,1
7490,1
28602,0
8374,1
17613,0
11521,1
15536,1
30109,0
29887,0
4596,1
16611,0
3329,1
5190,1
27604,0
27858,0
2724,1
1583,1
15809,1
21420,0
27146,0
20476,0
8748,1
29547,0
14165,1
8500,1
7683,1
92,1
22066,0
19012,0
28058,0
8452,1
24463,0
142,1
20486,0
25909,0
30248,0
28715,0
6118,1
14774,1
10313,1
9705,1
5785,1
24061,0
27102,0
29503,0
25115,0
7549,1
23749,0
9163,1
21697,0
25360,0
23868,0
17768,0
13311,1
23241,0
5649,1
22792,0
2972,1
11130,1
2585,1
25782,0
18698,0
12073,1
19571,0
27923,0
30297,0
22975,0
4667,1
5628,1
31776,0
5046,1
8728,1
9348,1
6387,1
21952,0
23984,0
25714,0
17773,0
22445,0
2776,1
28044,0
12665,1
17066,0
27842,0
21821,0
13293,1
4255,1
2185,1
25917,0
14899,1
2701,1
26674,0
29445,0
31293,0
29487,0
7731,1
28053,0
11829,1
22989,0
26109,0
1704,1
18337,0
2143,1
14815,1
27096,0
19000,0
18160,0
30631,0
21638,0
13954,1
24614,0
4642,1
31816,0
12530,1
21222,0
12878,1
5607,1
22488,0
17860,0
17984,0
31818,0
21379,0
24230,0
14335,1
27526,0
1134,1
9209,1
17273,0
13684,1
10917,1
336,1
19979,0
16870,0
3264,1
10952,1
30596,0
30141,0
13703,1
19008,0
24335,0
11084,1
20798,0
7795,1
11124,1
14065,1
9030,1
17474,0
22195,0
25579,0
5611,1
2261,1
24638,0
7,1
5967,1
13750,1
29600,0
24266,0
15190,1
15516,1
10817,1
4572,1
25844,0
30888,0
20493,0
18742,0
877,1
28902,0
2712,1
10335,1
18142,0
29906,0
15789,1
22711,0
2528,1
1642,1
3244,1
23116,0
21321,0
28761,0
25456,0
24069,0
19023,0
31820,0
21483,0
24264,0
8658,1
29317,0
15106,1
24234,0
15421,1
22969,0
1076,1
29559,0
1661,1
5732,1
31037,0
10255,1
25556,0
14921,1
100,1
8415,1
26681,0
24950,0
28692,0
25926,0
3114,1
7162,1
5816,1
22449,0
4608,1
23976,0
24857,0
4548,1
11320,1
16631,0
4431,1
11566,1
18133,0
29872,0
12018,1
8749,1
6633,1
7383,1
7213,1
1759,1
19784,0
12500,1
11608,1
3563,1
21461,0
5436,1
13932,1
16301,0
19068,0
20999,0
7718,1
6491,1
4692,1
19851,0
25535,0
21439,0
10464,1
14539,1
9679,1
4036,1
29043,0
24211,0
560,1
6240,1
16068,0
28505,0
18626,0
5000,1
14646,1
23695,0
28561,0
14018,1
22522,0
15217,1
4791,1
29468,0
20067,0
8657,1
20433,0
21489,0
27766,0
14232,1
20992,0
24721,0
23170,0
722,1
16801,0
16098,0
17098,0
112,1
10176,1
29540,0
11112,1
15685,1
17427,0
27144,0
2717,1
8704,1
10992,1
30239,0
12980,1
22576,0
29268,0
11159,1
14003,1
22386,0
27199,0
25605,0
4448,1
28987,0
19610,0
11737,1
16234,0
10607,1
20822,0
9612,1
4752,1
15970,1
10553,1
30768,0
11289,1
23312,0
27747,0
19296,0
8369,1
15250,1
9274,1
5283,1
24567,0
29873,0
30209,0
31977,0
4746,1
640,1
21339,0
31881,0
7506,1
22213,0
7744,1
6577,1
7908,1
27647,0
30258,0
26640,0
30987,0
2877,1
6949,1
2381,1
18082,0
25718,0
18904,0
6951,1
27156,0
12806,1
19470,0
5807,1
5528,1
10592,1
21626,0
26745,0
10361,1
14603,1
22839,0
14844,1
9102,1
20810,0
13100,1
20260,0
20870,0
3455,1
17243,0
8069,1
30592,0
16118,0
6642,1
3479,1
1210,1
24308,0
27907,0
9974,1
10714,1
329,1
10399,1
12782,1
23739,0
5378,1
9715,1
14032,1
3832,1
6525,1
23979,0
2069,1
5529,1
27129,0
6910,1
20601,0
16860,0
29203,0
20233,0
29728,0
15782,1
15455,1
9393,1
16796,0
16189,0
4797,1
22437,0
23864,0
21636,0
13479,1
24045,0
4213,1
7565,1
20771,0
23544,0
19702,0
6287,1
29716,0
28774,0
19093,0
26819,0
25940,0
16958,0
21389,0
14122,1
10460,1
24023,0
4211,1
28097,0
10300,1
22965,0
4546,1
10471,1
22442,0
23390,0
27655,0
3004,1
24604,0
11204,1
22812,0
12192,1
9070,1
368,1
13319,1
21178,0
7570,1
30903,0
10949,1
4335,1
31969,0
16282,0
3884,1
13796,1
25601,0
18893,0
27,1
855,1
14457,1
20235,0
465,1
22543,0
15739,1
8905,1
28732,0
21917,0
29574,0
29604,0
23054,0
6444,1
3434,1
31397,0
16856,0
12055,1
20499,0
10063,1
23826,0
11374,1
19199,0
477,1
5787,1
20856,0
21499,0
20671,0
25962,0
23977,0
10106,1
5630,1
26000,0
5752,1
6205,1
31839,0
31610,0
8479,1
14656,1
24394,0
24755,0
22187,0
6074,1
28588,0
27207,0
20554,0
17078,0
27735,0
3274,1
12573,1
9303,1
16687,0
24176,0
853,1
25583,0
21654,0
7646,1
4819,1
27271,0
29524,0
24929,0
13147,1
14883,1
4338,1
7428,1
11824,1
20410,0
10478,1
12795,1
19772,0
23166,0
13665,1
12982,1
316,1
7418,1
26340,0
29852,0
16789,0
25910,0
18213,0
6770,1
6646,1
24669,0
15855,1
6085,1
7394,1
20666,0
297,1
3237,1
2364,1
12089,1
6295,1
17852,0
23582,0
1202,1
22628,0
12230,1
20970,0
18282,0
6395,1
19968,0
29438,0
6386,1
1257,1
6604,1
152,1
25924,0
17162,0
30472,0
412,1
10599,1
13367,1
1503,1
16685,0
5197,1
2252,1
19939,0
13091,1
940,1
3770,1
27548,0
16289,0
13811,1
25608,0
11074,1
17143,0
8510,1
29034,0
6705,1
31994,0
11161,1
3682,1
27573,0
28427,0
20568,0
949,1
16677,0
27715,0
20415,0
6923,1
5471,1
28747,0
2337,1
29656,0
16122,0
8048,1
15377,1
23890,0
4737,1
26948,0
29477,0
17994,0
14645,1
24156,0
15039,1
20905,0
6445,1
26284,0
